Parameter_ID,Form,Comment,Loan,Source,Pages,Ultimate source,Glottocode,Name,Language_ID
20,rua avui,,FALSE,Lean1986Vol07,p.31,7 CSQs. Village: Pinu (7).,abad1241,Gabadi,abad1241-1
30,koi avui,,FALSE,Lean1986Vol07,p.31,7 CSQs. Village: Pinu (7).,abad1241,Gabadi,abad1241-1
40,vani avui,,FALSE,Lean1986Vol07,p.31,7 CSQs. Village: Pinu (7).,abad1241,Gabadi,abad1241-1
50,ima avui,,FALSE,Lean1986Vol07,p.31,7 CSQs. Village: Pinu (7).,abad1241,Gabadi,abad1241-1
60,karakoi avui,,FALSE,Lean1986Vol07,p.31,7 CSQs. Village: Pinu (7).,abad1241,Gabadi,abad1241-1
70,isu avui,,FALSE,Lean1986Vol07,p.31,7 CSQs. Village: Pinu (7).,abad1241,Gabadi,abad1241-1
100,sinau ka,,FALSE,Lean1986Vol07,p.31,7 CSQs. Village: Pinu (7).,abad1241,Gabadi,abad1241-1
200,sinau rua,,FALSE,Lean1986Vol07,p.31,7 CSQs. Village: Pinu (7).,abad1241,Gabadi,abad1241-1
300,sinau koi,,FALSE,Lean1986Vol07,p.31,7 CSQs. Village: Pinu (7).,abad1241,Gabadi,abad1241-1
1,menazire,,FALSE,Lean1986Vol08,p.29,S.I.L. Survey word list (1976).,abag1245,Abaga,abag1245-1
2,rera,,FALSE,Lean1986Vol08,p.29,S.I.L. Survey word list (1976).,abag1245,Abaga,abag1245-1
3,rera get manage,,FALSE,Lean1986Vol08,p.29,S.I.L. Survey word list (1976).,abag1245,Abaga,abag1245-1
4,rera get reragete,,FALSE,Lean1986Vol08,p.29,S.I.L. Survey word list (1976).,abag1245,Abaga,abag1245-1
5,menaigezai,‘Five’ may contain a ‘one’ morpheme ‘mena(i)’ but it is not known whether it contains a ‘hand’ morpheme as well.,FALSE,Lean1986Vol08,p.29,S.I.L. Survey word list (1976).,abag1245,Abaga,abag1245-1
1,doonoʔ,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Sembuak,abai1241-1
2,duo,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Sembuak,abai1241-1
2,dungaiʔ,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Sembuak,abai1241-1
3,talu,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Sembuak,abai1241-1
3,talungaiʔ,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Sembuak,abai1241-1
4,afat,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Sembuak,abai1241-1
5,limo,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Sembuak,abai1241-1
6,onom,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Sembuak,abai1241-1
7,tuluʔ,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Sembuak,abai1241-1
8,baluʔ,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Sembuak,abai1241-1
9,siam,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Sembuak,abai1241-1
10,fuluʔ,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Sembuak,abai1241-1
11,fuluʔ doonoʔ,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Sembuak,abai1241-1
20,duongpuluʔ,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Sembuak,abai1241-1
30,talungfuluʔ,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Sembuak,abai1241-1
30,talu fuluan,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Sembuak,abai1241-1
40,afat fuluan,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Sembuak,abai1241-1
100,səlatus,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Sembuak,abai1241-1
200,dungay latus,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Sembuak,abai1241-1
1000,səlibu,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Sembuak,abai1241-1
1,saʔ,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Tubu,abai1241-2
1,doonoʔ,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Tubu,abai1241-2
2,duo,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Tubu,abai1241-2
2,dungaiʔ,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Tubu,abai1241-2
3,talu,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Tubu,abai1241-2
3,təlungaiʔ,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Tubu,abai1241-2
4,afat,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Tubu,abai1241-2
5,limo,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Tubu,abai1241-2
6,onom,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Tubu,abai1241-2
7,tuluʔ,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Tubu,abai1241-2
8,baluʔ,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Tubu,abai1241-2
9,siam,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Tubu,abai1241-2
10,fuluʔ,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Tubu,abai1241-2
11,fuluʔ doonoʔ,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Tubu,abai1241-2
20,duongfuluʔ,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Tubu,abai1241-2
30,talumpuluʔ,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Tubu,abai1241-2
40,apatpuluʔ,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Tubu,abai1241-2
100,səratus,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Tubu,abai1241-2
200,dungaiʔ ratus,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Tubu,abai1241-2
1000,saribu,,FALSE,Lobel2016,pp.234-239,,abai1241,Abai Tubu,abai1241-2
1,kɑmənɑre,(man),FALSE,Laycock1971D32,pp.4664-4666,,abau1245,Abau,abau1245-1
1,kɑmənuwɔ,"(tree, sago, fire)",FALSE,Laycock1971D32,pp.4664-4666,,abau1245,Abau,abau1245-1
1,kɑməniwɔ,"(tree, sago, fire)",FALSE,Laycock1971D32,pp.4664-4666,,abau1245,Abau,abau1245-1
1,kɑmɛnuwɔ,"(tree, sago, fire)",FALSE,Laycock1971D32,pp.4664-4666,,abau1245,Abau,abau1245-1
1,kɑmənɑrei,(bird),FALSE,Laycock1971D32,pp.4664-4666,,abau1245,Abau,abau1245-1
2,bulɛ sinɑre,(man),FALSE,Laycock1971D32,pp.4664-4666,,abau1245,Abau,abau1245-1
2,klɑsiwɑu,(tree),FALSE,Laycock1971D32,pp.4664-4666,,abau1245,Abau,abau1245-1
2,kəlɑsiwɑrei,,FALSE,Laycock1971D32,pp.4664-4666,,abau1245,Abau,abau1245-1
3,bulɔm linɑre,(man),FALSE,Laycock1971D32,pp.4664-4666,,abau1245,Abau,abau1245-1
3,kəlɑmniwɑu,(tree),FALSE,Laycock1971D32,pp.4664-4666,,abau1245,Abau,abau1245-1
3,kəlumniwɑrei,,FALSE,Laycock1971D32,pp.4664-4666,,abau1245,Abau,abau1245-1
4,suɸɑyei,(man),FALSE,Laycock1971D32,pp.4664-4666,,abau1245,Abau,abau1245-1
5,bulʊmdiyɑure,(man),FALSE,Laycock1971D32,pp.4664-4666,,abau1245,Abau,abau1245-1
1,kamanau,,FALSE,LeanSandaun,p.26,SIL Word List (1980). Village: Bisiabru.,abau1245,Abau (Bisiabru village),abau1245-2
2,kles,,FALSE,LeanSandaun,p.26,SIL Word List (1980). Village: Bisiabru.,abau1245,Abau (Bisiabru village),abau1245-2
3,klombli,,FALSE,LeanSandaun,p.26,SIL Word List (1980). Village: Bisiabru.,abau1245,Abau (Bisiabru village),abau1245-2
4,yerboraba,,FALSE,LeanSandaun,p.26,SIL Word List (1980). Village: Bisiabru.,abau1245,Abau (Bisiabru village),abau1245-2
5,ihasiden,,FALSE,LeanSandaun,p.26,SIL Word List (1980). Village: Bisiabru.,abau1245,Abau (Bisiabru village),abau1245-2
1,kamon,,FALSE,LeanSandaun,p.28,1 CSQ (NHS student).,abau1245,Abau (from CSQ by NHS student),abau1245-3
2,kres,,FALSE,LeanSandaun,p.28,1 CSQ (NHS student).,abau1245,Abau (from CSQ by NHS student),abau1245-3
3,kres kamon,,FALSE,LeanSandaun,p.28,1 CSQ (NHS student).,abau1245,Abau (from CSQ by NHS student),abau1245-3
4,kres kres,,FALSE,LeanSandaun,p.28,1 CSQ (NHS student).,abau1245,Abau (from CSQ by NHS student),abau1245-3
5,kres kres kamon,,FALSE,LeanSandaun,p.28,1 CSQ (NHS student).,abau1245,Abau (from CSQ by NHS student),abau1245-3
1,kamon,,FALSE,LeanSandaun,p.27,1 CSQ completed by SIL member (A. H. Lock).,abau1245,Abau (from CSQ by SIL member),abau1245-4
2,kres,,FALSE,LeanSandaun,p.27,1 CSQ completed by SIL member (A. H. Lock).,abau1245,Abau (from CSQ by SIL member),abau1245-4
3,kres kamon,,FALSE,LeanSandaun,p.27,1 CSQ completed by SIL member (A. H. Lock).,abau1245,Abau (from CSQ by SIL member),abau1245-4
4,yorbou ropa,,FALSE,LeanSandaun,p.27,1 CSQ completed by SIL member (A. H. Lock).,abau1245,Abau (from CSQ by SIL member),abau1245-4
5,yorbou non,,FALSE,LeanSandaun,p.27,1 CSQ completed by SIL member (A. H. Lock).,abau1245,Abau (from CSQ by SIL member),abau1245-4
6,iha siron pru non,,FALSE,LeanSandaun,p.27,1 CSQ completed by SIL member (A. H. Lock).,abau1245,Abau (from CSQ by SIL member),abau1245-4
7,iha siron mu nareis-ar,,FALSE,LeanSandaun,p.27,1 CSQ completed by SIL member (A. H. Lock).,abau1245,Abau (from CSQ by SIL member),abau1245-4
8,iha siron mu nareis-ar pru-non,,FALSE,LeanSandaun,p.27,1 CSQ completed by SIL member (A. H. Lock).,abau1245,Abau (from CSQ by SIL member),abau1245-4
9,iha siron iha-ihau,,FALSE,LeanSandaun,p.27,1 CSQ completed by SIL member (A. H. Lock).,abau1245,Abau (from CSQ by SIL member),abau1245-4
10,iha ses,,FALSE,LeanSandaun,p.27,1 CSQ completed by SIL member (A. H. Lock).,abau1245,Abau (from CSQ by SIL member),abau1245-4
11,iha ses pru non,,FALSE,LeanSandaun,p.27,1 CSQ completed by SIL member (A. H. Lock).,abau1245,Abau (from CSQ by SIL member),abau1245-4
12,iha ses mu nareis-ar,,FALSE,LeanSandaun,p.27,1 CSQ completed by SIL member (A. H. Lock).,abau1245,Abau (from CSQ by SIL member),abau1245-4
13,iha ses mu nareis pru-non,,FALSE,LeanSandaun,p.27,1 CSQ completed by SIL member (A. H. Lock).,abau1245,Abau (from CSQ by SIL member),abau1245-4
14,iha ses mu nareis pru nene namon,,FALSE,LeanSandaun,p.27,1 CSQ completed by SIL member (A. H. Lock).,abau1245,Abau (from CSQ by SIL member),abau1245-4
15,iha ses sune siron,,FALSE,LeanSandaun,p.27,1 CSQ completed by SIL member (A. H. Lock).,abau1245,Abau (from CSQ by SIL member),abau1245-4
16,iha ses sune siron pru non,,FALSE,LeanSandaun,p.27,1 CSQ completed by SIL member (A. H. Lock).,abau1245,Abau (from CSQ by SIL member),abau1245-4
17,iha ses sune siron mu nareis-ar,,FALSE,LeanSandaun,p.27,1 CSQ completed by SIL member (A. H. Lock).,abau1245,Abau (from CSQ by SIL member),abau1245-4
18,iha ses sune siron mu nareis pru non,,FALSE,LeanSandaun,p.27,1 CSQ completed by SIL member (A. H. Lock).,abau1245,Abau (from CSQ by SIL member),abau1245-4
19,iha ses sune siron mu nareis pru nene namon,,FALSE,LeanSandaun,p.27,1 CSQ completed by SIL member (A. H. Lock).,abau1245,Abau (from CSQ by SIL member),abau1245-4
20,iha ses sune ses,,FALSE,LeanSandaun,p.27,1 CSQ completed by SIL member (A. H. Lock).,abau1245,Abau (from CSQ by SIL member),abau1245-4
21,iha ses sune ses mu namon,,FALSE,LeanSandaun,p.27,1 CSQ completed by SIL member (A. H. Lock).,abau1245,Abau (from CSQ by SIL member),abau1245-4
30,iha ses sune ses ur prein-so iha ses,,FALSE,LeanSandaun,p.27,1 CSQ completed by SIL member (A. H. Lock).,abau1245,Abau (from CSQ by SIL member),abau1245-4
100,ur iha siron,,FALSE,LeanSandaun,p.27,1 CSQ completed by SIL member (A. H. Lock).,abau1245,Abau (from CSQ by SIL member),abau1245-4
1,komoniau,,FALSE,LeanSandaun,p.26,SIL Word List (1980). Village: Hufi.,abau1245,Abau (Hufi village),abau1245-5
2,brues,,FALSE,LeanSandaun,p.26,SIL Word List (1980). Village: Hufi.,abau1245,Abau (Hufi village),abau1245-5
4,boniyat,,FALSE,LeanSandaun,p.26,SIL Word List (1980). Village: Hufi.,abau1245,Abau (Hufi village),abau1245-5
5,pidemdi,,FALSE,LeanSandaun,p.26,SIL Word List (1980). Village: Hufi.,abau1245,Abau (Hufi village),abau1245-5
1,bulinau,,FALSE,LeanSandaun,p.26,SIL Word List (1980). Village: Iaburu.,abau1245,Abau (Ibaru village),abau1245-6
2,bulisnan,,FALSE,LeanSandaun,p.26,SIL Word List (1980). Village: Iaburu.,abau1245,Abau (Ibaru village),abau1245-6
3,b'luesblu:yum,,FALSE,LeanSandaun,p.26,SIL Word List (1980). Village: Iaburu.,abau1245,Abau (Ibaru village),abau1245-6
4,yorpolopaʔ,,FALSE,LeanSandaun,p.26,SIL Word List (1980). Village: Iaburu.,abau1245,Abau (Ibaru village),abau1245-6
5,ihasirum,,FALSE,LeanSandaun,p.26,SIL Word List (1980). Village: Iaburu.,abau1245,Abau (Ibaru village),abau1245-6
1,komeniau,,FALSE,LeanSandaun,p.26,SIL Word List (1980). Village: Kobararu.,abau1245,Abau (Kobararu village),abau1245-7
2,pides,,FALSE,LeanSandaun,p.26,SIL Word List (1980). Village: Kobararu.,abau1245,Abau (Kobararu village),abau1245-7
3,biromri,,FALSE,LeanSandaun,p.26,SIL Word List (1980). Village: Kobararu.,abau1245,Abau (Kobararu village),abau1245-7
4,pides pidom,,FALSE,LeanSandaun,p.26,SIL Word List (1980). Village: Kobararu.,abau1245,Abau (Kobararu village),abau1245-7
5,ivasidom,,FALSE,LeanSandaun,p.26,SIL Word List (1980). Village: Kobararu.,abau1245,Abau (Kobararu village),abau1245-7
1,blinyau,,FALSE,LeanSandaun,p.26,SIL Word List (1980). Village: Mukvasi (Mukwas).,abau1245,Abau (Mukvasi (Mukwas) village),abau1245-8
2,blisnon,,FALSE,LeanSandaun,p.26,SIL Word List (1980). Village: Mukvasi (Mukwas).,abau1245,Abau (Mukvasi (Mukwas) village),abau1245-8
3,krombrinon,,FALSE,LeanSandaun,p.26,SIL Word List (1980). Village: Mukvasi (Mukwas).,abau1245,Abau (Mukvasi (Mukwas) village),abau1245-8
4,blombri,,FALSE,LeanSandaun,p.26,SIL Word List (1980). Village: Mukvasi (Mukwas).,abau1245,Abau (Mukvasi (Mukwas) village),abau1245-8
5,yasirum yerbo,,FALSE,LeanSandaun,p.26,SIL Word List (1980). Village: Mukvasi (Mukwas).,abau1245,Abau (Mukvasi (Mukwas) village),abau1245-8
1,kemeniau,,FALSE,LeanSandaun,p.26,SIL Word List (1980). Village: Wauru No. 1.,abau1245,Abau (Wauru No. 1 village),abau1245-9
2,bidesnon,,FALSE,LeanSandaun,p.26,SIL Word List (1980). Village: Wauru No. 1.,abau1245,Abau (Wauru No. 1 village),abau1245-9
3,pidemdi,,FALSE,LeanSandaun,p.26,SIL Word List (1980). Village: Wauru No. 1.,abau1245,Abau (Wauru No. 1 village),abau1245-9
4,brues brues,,FALSE,LeanSandaun,p.26,SIL Word List (1980). Village: Wauru No. 1.,abau1245,Abau (Wauru No. 1 village),abau1245-9
5,ivasidum,,FALSE,LeanSandaun,p.26,SIL Word List (1980). Village: Wauru No. 1.,abau1245,Abau (Wauru No. 1 village),abau1245-9
1,kekei,,FALSE,Fiwei1999,p.28,,abin1243,Abinomn,abin1243-1
2,ɡwabrom,,FALSE,Fiwei1999,p.28,,abin1243,Abinomn,abin1243-1
3,anɡɡwamani,,FALSE,Fiwei1999,p.28,,abin1243,Abinomn,abin1243-1
4,anɡɡwam-anɡɡwam,,FALSE,Fiwei1999,p.28,,abin1243,Abinomn,abin1243-1
5,anɡɡwam-anɡɡwam kekei,,FALSE,Fiwei1999,p.28,,abin1243,Abinomn,abin1243-1
6,anɡɡwam-anɡɡwam anɡɡwam,,FALSE,Fiwei1999,p.28,,abin1243,Abinomn,abin1243-1
7,anɡɡwam kekei anɡɡwam kekei,,FALSE,Fiwei1999,p.28,,abin1243,Abinomn,abin1243-1
8,anɡɡwam- anɡɡwam anɡɡwam-anɡɡwam,,FALSE,Fiwei1999,p.28,,abin1243,Abinomn,abin1243-1
9,anɡɡwam kekei anɡɡwam kekei anɡɡwam kekei,,FALSE,Fiwei1999,p.28,,abin1243,Abinomn,abin1243-1
10,anɡɡwam-anɡɡwam kekei anɡɡwam-anɡɡwam kekei,,FALSE,Fiwei1999,p.28,,abin1243,Abinomn,abin1243-1
1,et-i-n,,FALSE,Nekitel1985,pp.83-84,,abua1245,Abu' Arapesh,abua1245-1
1,at-u-',,FALSE,Nekitel1985,pp.83-84,,abua1245,Abu' Arapesh,abua1245-1
1,at-u-m,,FALSE,Nekitel1985,pp.83-84,,abua1245,Abu' Arapesh,abua1245-1
2,bi-e-s,,FALSE,Nekitel1985,pp.83-84,,abua1245,Abu' Arapesh,abua1245-1
2,bi-a-wa,,FALSE,Nekitel1985,pp.83-84,,abua1245,Abu' Arapesh,abua1245-1
2,bi-a-ba,,FALSE,Nekitel1985,pp.83-84,,abua1245,Abu' Arapesh,abua1245-1
3,we-n-i-s,,FALSE,Nekitel1985,pp.83-84,,abua1245,Abu' Arapesh,abua1245-1
3,wa-n-u-wa,,FALSE,Nekitel1985,pp.83-84,,abua1245,Abu' Arapesh,abua1245-1
3,wa-n-u-ba,,FALSE,Nekitel1985,pp.83-84,,abua1245,Abu' Arapesh,abua1245-1
4,nubat-i-s,nubat = dog; Probably derived from the number of dog’s legs.,FALSE,Nekitel1985,pp.83-84,,abua1245,Abu' Arapesh,abua1245-1
4,nubat-i-wa,nubat = dog; Probably derived from the number of dog’s legs.,FALSE,Nekitel1985,pp.83-84,,abua1245,Abu' Arapesh,abua1245-1
4,nubat-i-ba,nubat = dog; Probably derived from the number of dog’s legs.,FALSE,Nekitel1985,pp.83-84,,abua1245,Abu' Arapesh,abua1245-1
4,bies i bies,two things and two things (modified doubling system),FALSE,Nekitel1985,pp.83-84,,abua1245,Abu' Arapesh,abua1245-1
5,lakl wa'ara-k-i-l-i-s,other-hand,FALSE,Nekitel1985,pp.83-84,,abua1245,Abu' Arapesh,abua1245-1
5,lakl wa'ara-k-u-l-u-wa,other-hand,FALSE,Nekitel1985,pp.83-84,,abua1245,Abu' Arapesh,abua1245-1
5,lakl wa'ara-kl-i-ba,other-hand,FALSE,Nekitel1985,pp.83-84,,abua1245,Abu' Arapesh,abua1245-1
6,lakl wa-ara-kl e etin,five plus one,FALSE,Nekitel1985,pp.83-84,,abua1245,Abu' Arapesh,abua1245-1
6,wenis i wenis,three things and three things (modified doubling system),FALSE,Nekitel1985,pp.83-84,,abua1245,Abu' Arapesh,abua1245-1
7,lakl wa-ara-kl e bi-e-s,five and two,FALSE,Nekitel1985,pp.83-84,,abua1245,Abu' Arapesh,abua1245-1
8,lakl wa-ara-kl e we-n-i-s,five and three,FALSE,Nekitel1985,pp.83-84,,abua1245,Abu' Arapesh,abua1245-1
9,lakl wa-ara-kl e nubat-i-s,five and four,FALSE,Nekitel1985,pp.83-84,,abua1245,Abu' Arapesh,abua1245-1
10,lakuh biakuh,two hands,FALSE,Nekitel1985,pp.83-84,,abua1245,Abu' Arapesh,abua1245-1
15,lakuh biakuh e bur'ah atuh,two hands and one leg,FALSE,Nekitel1985,pp.83-84,,abua1245,Abu' Arapesh,abua1245-1
20,lakuh biakuh e bur'ah bialah,two hands and two legs,FALSE,Nekitel1985,pp.83-84,,abua1245,Abu' Arapesh,abua1245-1
1,noekoe,,FALSE,Stokhof1983Vol6,p.313,,abui1241,Abui,abui1241-1
2,ajoekoe,,FALSE,Stokhof1983Vol6,p.313,,abui1241,Abui,abui1241-1
3,soea,,FALSE,Stokhof1983Vol6,p.313,,abui1241,Abui,abui1241-1
4,boeti,,FALSE,Stokhof1983Vol6,p.313,,abui1241,Abui,abui1241-1
5,j ɛting,<jɛting ?>,FALSE,Stokhof1983Vol6,p.313,,abui1241,Abui,abui1241-1
6,talama,,FALSE,Stokhof1983Vol6,p.313,,abui1241,Abui,abui1241-1
7,j ɛting ajoekoe,<jɛting ?>,FALSE,Stokhof1983Vol6,p.313,,abui1241,Abui,abui1241-1
8,j ɛting soea,<jɛting ?>,FALSE,Stokhof1983Vol6,p.313,,abui1241,Abui,abui1241-1
9,j ɛting boeti,<jɛting ?>,FALSE,Stokhof1983Vol6,p.313,,abui1241,Abui,abui1241-1
10,kar noekoe,,FALSE,Stokhof1983Vol6,p.313,,abui1241,Abui,abui1241-1
11,karnoekoe wal noekoe,,FALSE,Stokhof1983Vol6,p.313,,abui1241,Abui,abui1241-1
12,karnoekoe wal ajoekoe,,FALSE,Stokhof1983Vol6,p.313,,abui1241,Abui,abui1241-1
13,karnoekoe wal soea,,FALSE,Stokhof1983Vol6,p.313,,abui1241,Abui,abui1241-1
14,karnoekoe wal boeti,,FALSE,Stokhof1983Vol6,p.313,,abui1241,Abui,abui1241-1
15,karnoekoe wal jɛting,,FALSE,Stokhof1983Vol6,p.313,,abui1241,Abui,abui1241-1
16,karnoekoe wal talama,,FALSE,Stokhof1983Vol6,p.313,,abui1241,Abui,abui1241-1
17,karnoekoe wal jɛting ajoekoe,,FALSE,Stokhof1983Vol6,p.313,,abui1241,Abui,abui1241-1
18,karnoekoe wal jɛting soea,,FALSE,Stokhof1983Vol6,p.313,,abui1241,Abui,abui1241-1
19,karnoekoe wal j ɛting boeti,<jɛting ?>,FALSE,Stokhof1983Vol6,p.313,,abui1241,Abui,abui1241-1
20,kar ajoekoe,,FALSE,Stokhof1983Vol6,p.313,,abui1241,Abui,abui1241-1
21,kar ajoekoe noekoe,,FALSE,Stokhof1983Vol6,p.313,,abui1241,Abui,abui1241-1
30,kar soea,,FALSE,Stokhof1983Vol6,p.313,,abui1241,Abui,abui1241-1
40,kar boeti,,FALSE,Stokhof1983Vol6,p.313,,abui1241,Abui,abui1241-1
50,kar jɛting,,FALSE,Stokhof1983Vol6,p.313,,abui1241,Abui,abui1241-1
60,kar talama,,FALSE,Stokhof1983Vol6,p.313,,abui1241,Abui,abui1241-1
70,kar j ɛting ajoekoe,<jɛting ?>,FALSE,Stokhof1983Vol6,p.313,,abui1241,Abui,abui1241-1
80,kar j ɛting soea,<jɛting ?>,FALSE,Stokhof1983Vol6,p.313,,abui1241,Abui,abui1241-1
90,kar j ɛting boeti,<jɛting ?>,FALSE,Stokhof1983Vol6,p.313,,abui1241,Abui,abui1241-1
100,aisaha noekoe,,FALSE,Stokhof1983Vol6,p.313,,abui1241,Abui,abui1241-1
200,aisaha ajoekoe,,FALSE,Stokhof1983Vol6,p.313,,abui1241,Abui,abui1241-1
1000,rifi noekoe,,FALSE,Stokhof1983Vol6,p.313,,abui1241,Abui,abui1241-1
10000,rifi karnoekoe,,FALSE,Stokhof1983Vol6,p.313,,abui1241,Abui,abui1241-1
1,no̱e̱ko̱e̱,,FALSE,Stokhof1987Vol11,p.96,,abui1241,Abui (Alor),abui1241-2
2,ajo̱e̱ko̱e̱,,FALSE,Stokhof1987Vol11,p.96,,abui1241,Abui (Alor),abui1241-2
3,so̱e̱a,,FALSE,Stokhof1987Vol11,p.96,,abui1241,Abui (Alor),abui1241-2
4,bo̱e̱ti,,FALSE,Stokhof1987Vol11,p.96,,abui1241,Abui (Alor),abui1241-2
5,djeting,,FALSE,Stokhof1987Vol11,p.96,,abui1241,Abui (Alor),abui1241-2
6,talama,,FALSE,Stokhof1987Vol11,p.96,,abui1241,Abui (Alor),abui1241-2
7,djeting ajo̱e̱ko̱e̱,,FALSE,Stokhof1987Vol11,p.96,,abui1241,Abui (Alor),abui1241-2
8,djeting so̱e̱a,,FALSE,Stokhof1987Vol11,p.96,,abui1241,Abui (Alor),abui1241-2
9,djeting boeti,,FALSE,Stokhof1987Vol11,p.96,,abui1241,Abui (Alor),abui1241-2
10,karnoekoe,,FALSE,Stokhof1987Vol11,p.96,,abui1241,Abui (Alor),abui1241-2
11,karno̱e̱ko̱e̱ wal no̱e̱ko̱e̱,,FALSE,Stokhof1987Vol11,p.96,,abui1241,Abui (Alor),abui1241-2
12,karnoekoe wal ajo̱e̱ko̱e̱,,FALSE,Stokhof1987Vol11,p.96,,abui1241,Abui (Alor),abui1241-2
13,karnoekoe wal so̱e̱a,,FALSE,Stokhof1987Vol11,p.96,,abui1241,Abui (Alor),abui1241-2
19,karno̱e̱ko̱e̱ wal djeting boeti,,FALSE,Stokhof1987Vol11,p.96,,abui1241,Abui (Alor),abui1241-2
20,kar ajo̱e̱koe,,FALSE,Stokhof1987Vol11,p.96,,abui1241,Abui (Alor),abui1241-2
21,kar ajo̱e̱ko̱e̱ wal no̱e̱ko̱e̱,,FALSE,Stokhof1987Vol11,p.96,,abui1241,Abui (Alor),abui1241-2
30,kar soea,,FALSE,Stokhof1987Vol11,p.96,,abui1241,Abui (Alor),abui1241-2
40,kar boeti,,FALSE,Stokhof1987Vol11,p.96,,abui1241,Abui (Alor),abui1241-2
50,kar djeting,,FALSE,Stokhof1987Vol11,p.96,,abui1241,Abui (Alor),abui1241-2
